sound_id,class,class_idx,class_top,confidence,uploader,license,title,tags,description
39710,fx-a,15,fx,2,sluzzslazz,http://creativecommons.org/licenses/sampling+/1.0/,longgrasshop2.wav,"field,grasshopper",Field recording of grasshoppers
98449,fx-a,15,fx,4,williew705,http://creativecommons.org/publicdomain/zero/1.0/,Spfd lake bird song.wav,"ambience,birds,field-recording,nature,outdoors",Bird song recorded at Springfield Lake in Springfield Missouri U.S.A.
42917,fx-a,15,fx,4,inchadney,https://creativecommons.org/licenses/by/4.0/,Owl.WAV,"ringtone,bird,field-recording,owl,scotland","Here we go again. Early evening in bonny Scotland and our ""pet"" owl, the one, who lives nearby, gave another sample of its ""song"". Recorded with two Sennheiser ME 64/K6 microphones and a HHB Portadisk recorder."
45539,fx-a,15,fx,4,eircom,http://creativecommons.org/publicdomain/zero/1.0/,1 - crickets - baths 24-48000 INT GP.wav,"ambience,ambient,bath,calm,crickets,eerie,field-recording,interior","48000/24bit. eerie but calm and rhythmic crickets endemic to high-temperature public bath at the center of Moscow, Russia. recorded using an aaton cantar and a neumann stereo mic at a ~110' interchannel angle. used in production of a movie called ""schultess""."
343928,fx-a,15,fx,4,Reitanna,http://creativecommons.org/publicdomain/zero/1.0/,hiss3.wav,"hiss,snake,cat",just a hiss
56552,fx-a,15,fx,4,ERH,https://creativecommons.org/licenses/by/4.0/,fr0608bg Grey Parrot 2.wav,"bird,bird-call,bird-song,field-recording,grey-parrot,jungle,tropical-bird",The varied calls and screehes of the Grey Parrot. Recorded at Le Jardin D'Oiseaux Tropicale in Provence.
50495,fx-a,15,fx,4,rfhache,http://creativecommons.org/licenses/by/3.0/,field-recording.ao.bird.4.wav,"field-recording,birds,nature,outdoors,sound,zoomh4","Bird manifesto!! Strong, but friendly."
6987,fx-a,15,fx,2,dobroide,https://creativecommons.org/licenses/by/4.0/,horsesteps.20050813.mp3,"field-recording,clip-clop,sevilla,horse,city,streetnoise",horse cart approaches. Recorded with cheap Aiwa omni stereo mic and iRiver iHP120 /un coche de caballos se acerca
70955,fx-a,15,fx,3,dobroide,https://creativecommons.org/licenses/by/4.0/,20090407.cricket.close.wav,"cricket,field-recording,insect,nature,night","cricket chirping close. Recorded near Tavira, Portugal with two Shure WL183 capsules into FEL preamp, Edirol R09 recorder"
410145,fx-a,15,fx,4,Idalize,https://creativecommons.org/licenses/by-nc/4.0/,Mosquito Buzz (Vocal Talent),"voice,buzz,mosquito,vocals,dramatic,realistic,air,vocal,bee,pressure-release,fly,cartoon,buzzing,moving,mid-pitched,insect,nature,high-pitched,droning,comedy,silly,drone,flying,balloon,vibration,OWI,funny,comical,annoying,female","Female voice-artist performing a stereotypical mosquito buzz and a comical ""tired"" mosquito buzz. The sound was generated using only mouth, lips, teeth and some vocal input. Buzzing, annoying, funny, pitchy, nature sounds. Technical Specifications: Recorded with a Zoom H6 recorder using the attached stereo XY microphones. The sound was post-processed to make it more crisp and impactful (basic EQ, dB adjustment and trimming on Reaper DAW). Recorded indoors in a semi-soundproofed room on a rainy and overcast afternoon in Pretoria, South Africa."
147685,fx-a,15,fx,4,DiArchangeli,http://creativecommons.org/publicdomain/zero/1.0/,Parakeets.wav,"bird,parakeet,chirp,chriping,budgie,field-recording",This is the sounds of my birds chirping and playing.
163688,fx-a,15,fx,5,cognito perceptu,http://creativecommons.org/publicdomain/zero/1.0/,cicadas.wav,"loud,woodlands,woods,swamp,bugs,insects,nature,trill,field-recording,summer","The rather loud trill of cicadas, their song rising and falling. Recorded with no human noise pollution on a swamp road, midmorning in the middle of summer in the American South."
161923,fx-a,15,fx,2,dobroide,https://creativecommons.org/licenses/by/4.0/,20120718_village.night.04.wav,"field-recording,Spain,night,quiet,dog,ambiance,minimalistic,country,barking","quiet night, a small dog barks. At 2 min the dog gets angry and runs. Recorded at the small village of Orellán (Leon province, NW Spain) with Primo EM172 capsules, FEL Microphone Amplifier BMA2, PCM-M10 recorder. Had to filter out electric hum from somewhere, light hiss removal also applied"
